Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0448487 (s)
392 MLA ||r(i)||/||b|| 1.3346699448176260e-03
393 MLA ||r(i)||/||b|| 1.3263206549986202e-03
394 MLA ||r(i)||/||b|| 1.3180188374928709e-03
395 MLA ||r(i)||/||b|| 1.3097642685002929e-03
396 MLA ||r(i)||/||b|| 1.3015566991202540e-03
397 MLA ||r(i)||/||b|| 1.2933958957873908e-03
398 MLA ||r(i)||/||b|| 1.2852817089790865e-03
399 MLA ||r(i)||/||b|| 1.2772138902405583e-03
400 MLA ||r(i)||/||b|| 1.2691922253768211e-03
401 MLA ||r(i)||/||b|| 1.2612165328476192e-03
402 MLA ||r(i)||/||b|| 1.2532866163204076e-03
403 MLA ||r(i)||/||b|| 1.2454022748522905e-03
404 MLA ||r(i)||/||b|| 1.2375633296278163e-03
405 MLA ||r(i)||/||b|| 1.2297695787091599e-03
