Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190178 (s)
355 MLA ||r(i)||/||b|| 3.7402155406425662e-03
356 MLA ||r(i)||/||b|| 3.7206932834116043e-03
357 MLA ||r(i)||/||b|| 3.7013890866987005e-03
358 MLA ||r(i)||/||b|| 3.6822997615013208e-03
359 MLA ||r(i)||/||b|| 3.6634222442850522e-03
360 MLA ||r(i)||/||b|| 3.6447533599430733e-03
361 MLA ||r(i)||/||b|| 3.6262901427055335e-03
362 MLA ||r(i)||/||b|| 3.6080296648110925e-03
363 MLA ||r(i)||/||b|| 3.5899688841308044e-03
364 MLA ||r(i)||/||b|| 3.5721050291743599e-03
365 MLA ||r(i)||/||b|| 3.5544353827438261e-03
366 MLA ||r(i)||/||b|| 3.5369570135207655e-03
367 MLA ||r(i)||/||b|| 3.5196673532358401e-03
368 MLA ||r(i)||/||b|| 3.5025637117785226e-03
369 MLA ||r(i)||/||b|| 3.4856436518508685e-03
370 MLA ||r(i)||/||b|| 3.4689044031966051e-03
371 MLA ||r(i)||/||b|| 3.4523436689473989e-03
372 MLA ||r(i)||/||b|| 3.4359588279734322e-03
373 MLA ||r(i)||/||b|| 3.4197475900723836e-03
374 MLA ||r(i)||/||b|| 3.4037075602899539e-03
375 MLA ||r(i)||/||b|| 3.3878363529415748e-03
376 MLA ||r(i)||/||b|| 3.3721318501778426e-03
377 MLA ||r(i)||/||b|| 3.3565915741756262e-03
378 MLA ||r(i)||/||b|| 3.3412135881693296e-03
379 MLA ||r(i)||/||b|| 3.3259956755209348e-03
380 MLA ||r(i)||/||b|| 3.3109356464166473e-03
381 MLA ||r(i)||/||b|| 3.2960314424770802e-03
382 MLA ||r(i)||/||b|| 3.2812810080987587e-03
383 MLA ||r(i)||/||b|| 3.2666823574531391e-03
384 MLA ||r(i)||/||b|| 3.2522335251371605e-03
385 MLA ||r(i)||/||b|| 3.2379325915271708e-03
386 MLA ||r(i)||/||b|| 3.2237776112009255e-03
387 MLA ||r(i)||/||b|| 3.2097667768934664e-03
388 MLA ||r(i)||/||b|| 3.1958982208347879e-03
389 MLA ||r(i)||/||b|| 3.1821701088374827e-03
390 MLA ||r(i)||/||b|| 3.1685807106111557e-03
391 MLA ||r(i)||/||b|| 3.1551282406347626e-03
392 MLA ||r(i)||/||b|| 3.1418110739955254e-03
393 MLA ||r(i)||/||b|| 3.1286275079490224e-03
394 MLA ||r(i)||/||b|| 3.1155757309395734e-03
395 MLA ||r(i)||/||b|| 3.1026542821467233e-03
396 MLA ||r(i)||/||b|| 3.0898614232760910e-03
397 MLA ||r(i)||/||b|| 3.0771957030184976e-03
398 MLA ||r(i)||/||b|| 3.0646554232504550e-03
399 MLA ||r(i)||/||b|| 3.0522391219177810e-03
400 MLA ||r(i)||/||b|| 3.0399453167557849e-03
401 MLA ||r(i)||/||b|| 3.0277724636779322e-03
402 MLA ||r(i)||/||b|| 3.0157192257229959e-03
403 MLA ||r(i)||/||b|| 3.0037840516349218e-03
404 MLA ||r(i)||/||b|| 2.9919655281301226e-03
405 MLA ||r(i)||/||b|| 2.9802623095486545e-03
406 MLA ||r(i)||/||b|| 2.9686729665927372e-03
